PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONING_DISTRICT,ZONING_CLASSIFICATION,LOT,PLAN,BLOCK,DISTRICT_LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_LAND_VALUE,PREVIOUS_IMPROVEMENT_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE,REPORT_YEAR
010-926-402,LAND,674030110000,67403011,RS-1,One-Family Dwelling,F,VAP6281,178,540,,4085.0,11TH AVE W,V6R 2L4,LOT F  BLOCK 178  PLAN VAP6281  DIS,TRICT LOT 540  NWD OF LOT 1.,,,,3109000.0,40700.0,2022.0,2552000.0,38000.0,1932.0,1965.0,10562.1,1,2022
030-406-862,STRATA,130811080023,13081108,RM-8N,Multiple Dwelling,23,EPS4182,,526,,1487.0,59TH AVE W,V6P 0G1,LOT 23  PLAN EPS4182  DISTRICT LOT,"526  NWD GROUP 1, TOGETHER WITH AN",INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,866000.0,772000.0,2021.0,807000.0,757000.0,2018.0,2018.0,4787.06,10,2021
014-826-372,LAND,694165460000,69416546,RS-7,One-Family Dwelling,6,VAP1356,560,472,,580.0,19TH AVE W,V5Z 1W6,LOT 6  BLOCK 560  PLAN VAP1356  DIS,TRICT LOT 472  NEW WESTMINSTER,,,,2480000.0,313000.0,2022.0,2200000.0,292000.0,1999.0,2002.0,9321.35,9,2022
009-313-524,LAND,830185130000,83018513,RS-1,Single Detached House,G,VAP10689,4,322,,60.0,64TH AVE E,V5X 2M4,LOT G  BLOCK 4  PLAN VAP10689  DIST,"RICT LOT 322  NWD GROUP 1, OF LOT 6",.,,,1435000.0,89700.0,2023.0,1326707.0,94100.0,1950.0,1980.0,,17,2023
003-788-563,STRATA,646087080047,64608708,RM-4,Multiple Dwelling,47,VAS275,,526,314,2190.0,7TH AVE W,V6K 4K7,LOT 47  PLAN VAS275  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 1949/1000,00 SHARE IN COM PROP THEREIN.,,,925000.0,74300.0,2023.0,784000.0,89200.0,1975.0,1975.0,,2,2023
023-925-744,STRATA,148604510282,14860451,DD,Comprehensive Development,282,LMS2969,,541,3110,939.0,HOMER ST,V6B 2W6,LOT 282  PLAN LMS2969  DISTRICT LOT,541  NEW WESTMINSTER UNDIV 442/215,085 SHARE IN COM PROP THEREIN.,,,353000.0,131000.0,2022.0,389000.0,145000.0,1998.0,1998.0,1303.37,29,2022
006-428-380,STRATA,124602890015,12460289,DD,Comprehensive Development,15,VAS1215,,541,603,847.0,HORNBY ST,V6Z 1T9,LOT 15  PLAN VAS1215  DISTRICT LOT,541  NEW WESTMINSTER UNDIV 2989/100,000 SHARE IN COM PROP THEREIN.,,,442000.0,137000.0,2023.0,424000.0,142000.0,1984.0,1984.0,,26,2023
004-916-361,STRATA,646138730005,64613873,FM-1,Multiple Dwelling,5,VAS1435,,526,1,1225.0,7TH AVE W,V6H 1B7,LOT 5  PLAN VAS1435  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 111/799 S,HARE IN COM PROP THEREIN.,,,1012000.0,119000.0,2020.0,1121000.0,125000.0,1984.0,1984.0,3308.95,7,2020
010-609-407,LAND,705067870000,70506787,RS-1,Single Detached House,13,VAP7440,7,139,,2813.0,23RD AVE W,V6L 1P2,LOT 13  BLOCK 7  PLAN VAP7440  DIST,RICT LOT 139  NWD AMD OF LOTS 3 & 4,(SEE 168517L).,,,3072000.0,514000.0,2023.0,3147000.0,494000.0,1993.0,1993.0,,4,2023
024-233-960,STRATA,134604770041,13460477,CD-1 (369),Comprehensive Development,41,LMS3440,,541,312,933.0,SEYMOUR ST,V6B 6L6,STRATA LOT 41  PLAN LMS3440  DISTRI,CT LOT 541  NWD  GROUP 1  TOGETHER,WITH AN INTEREST IN THE COMMON PROP,ERTY IN PROPORTION TO THE UNIT ENTI,TLEMENT OF THE STRATA LOT AS SHOWN,471000.0,176000.0,2023.0,437000.0,184000.0,1998.0,1998.0,,29,2023
019-082-169,STRATA,255568350009,25556835,RM-3A,Multiple Dwelling,9,LMS1720,,184,109,2211.0,WALL ST,V5L 1G4,LOT 9  PLAN LMS1720  DISTRICT LOT 1,84  NEW WESTMINSTER UNDIV 195/10000,SHARE IN COM PROP THEREIN.,,,314000.0,159000.0,2021.0,314000.0,107000.0,1994.0,1994.0,1343.77,14,2021
019-081-375,STRATA,156602510066,15660251,DD,Comprehensive Development,66,LMS1716,,541,1703,867.0,HAMILTON ST,V6B 6B7,"STRATA LOT 66, PLAN LMS1716, DISTRI","CT LOT 541, NEW WESTMINSTER LAND DI","STRICT, TOGETHER WITH AN INTEREST I",N THE COMMON PROPERTY IN PROPORTION,TO THE UNIT ENTITLEMENT OF THE STR,398000.0,432000.0,2021.0,443000.0,438000.0,1994.0,1994.0,2425.67,29,2021
029-814-979,STRATA,170825960100,17082596,CD-1 (535),Comprehensive Development,100,EPS3173,,311,1604,8131.0,NUNAVUT LANE,V5X 0E2,LOT 100  PLAN EPS3173  DISTRICT LOT,"311  NWD GROUP 1, & DL 323, TOGETH",ER WITH AN INTEREST IN THE COMMON P,ROPERTY IN PROPORTION TO THE UNIT E,NTITLEMENT OF THE STRATA LOT AS SHO,505000.0,280000.0,2022.0,489000.0,271000.0,2016.0,2016.0,2113.95,12,2022
029-968-127,STRATA,97802970003,9780297,CD-1 (584),Comprehensive Development,3,EPS3636,,325A,,7285.0,CYPRESS ST,V6P 5M2,LOT 3  PLAN EPS3636  DISTRICT LOT 3,25A  NWD TOGETHER WITH AN INTEREST,IN THE COMMON PROPERTY IN PROPORTIO,N TO THE UNIT ENTITLEMENT OF THE ST,"RATA LOT AS SHOWN ON FORM 1 OR V, A",1274000.0,522000.0,2023.0,1140000.0,512000.0,2016.0,2016.0,,10,2023
028-692-373,STRATA,250799260001,25079926,RT-2,Duplex,1,BCS4237,,726,,6856.0,VICTORIA DR,V5P 3Y5,LOT 1  PLAN BCS4237  DISTRICT LOT 7,"26  NWD GROUP 1, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM 1,1034000.0,310000.0,2023.0,963000.0,264000.0,2011.0,2011.0,,24,2023
018-630-537,STRATA,156829080003,15682908,RT-2,Two-Family Dwelling,3,LMS1246,,319,,8538.0,HEATHER ST,V6P 3S4,LOT 3  PLAN LMS1246  DISTRICT LOT 3,"19  NWD & DL 323 & 324, TOGETHER WI",TH AN INTEREST IN THE COMMON PROPER,TY IN PROPORTION TO THE UNIT ENTITL,EMENT OF THE STRATA LOT AS SHOWN ON,837000.0,206000.0,2022.0,844000.0,208000.0,1994.0,1994.0,2808.73,12,2022
023-058-030,STRATA,211765930037,21176593,C-2,Commercial,37,LMS1921,,662,304,6475.0,CHESTER ST,V5W 4B7,LOT 37  PLAN LMS1921  DISTRICT LOT,662  NEW WESTMINSTER UNDIV 66/4940,SHARE IN COM PROP THEREIN.,,,293000.0,120000.0,2020.0,311000.0,123000.0,1994.0,1994.0,1094.2,16,2020
009-527-443,LAND,165792490000,16579249,RS-1,One-Family Dwelling,21,VAP10043,886,526,,6709.0,ASH ST,V6P 3K3,"LOT 21, BLOCK 886, PLAN VAP10043, D","ISTRICT LOT 526, NEW WESTMINSTER LA",ND DISTRICT,,,2651000.0,135000.0,2020.0,2946000.0,137000.0,1959.0,1975.0,9900.94,11,2020
031-429-661,STRATA,306715880199,30671588,CD-1 (662),Comprehensive Development,199,EPS7496,,51,2306,5058.0,JOYCE ST,V5R 0J9,STRATA LOT 199  PLAN EPS7496  DISTR,ICT LOT 51  NWD  GROUP 1  TOGETHER,WITH AN INTEREST IN THE COMMON PROP,ERTY IN PROPORTION TO THE UNIT ENTI,TLEMENT OF THE STRATA LOT AS SHOWN,679000.0,359000.0,2022.0,,,2021.0,2021.0,2795.27,23,2022
006-359-302,STRATA,634232050016,63423205,RM-4,Multiple Dwelling,16,VAS1081,,264A,202,1429.0,4TH AVE E,V5N 1J6,"STRATA LOT 16, PLAN VAS1081, DISTRI","CT LOT 264A, NEW WESTMINSTER LAND D","ISTRICT, TOGETHER WITH AN INTEREST",IN THE COMMON PROPERTY IN PROPORTIO,N TO THE UNIT ENTITLEMENT OF THE ST,375000.0,62200.0,2021.0,372000.0,65000.0,1981.0,1981.0,1277.72,14,2021
003-949-851,STRATA,92627800015,9262780,RM-4,Multiple Dwelling,15,VAS392,,526,204,1450.0,LABURNUM ST,V6J 3W3,LOT 15  PLAN VAS392  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 4050/1000,00 SHARE IN COM PROP THEREIN.,,,596000.0,86500.0,2020.0,640000.0,92800.0,1976.0,1976.0,1996.79,2,2020
027-172-309,STRATA,161599940128,16159994,CD-1 (415),Comprehensive Development,128,BCS2478,,FC,2101,111.0,GEORGIA ST W,V6B 1T8,LOT 128  PLAN BCS2478  DISTRICT LOT,FC  NWD TOGETHER WITH AN INTEREST,IN THE COMMON PROPERTY IN PROPORTIO,N TO THE UNIT ENTITLEMENT OF THE ST,RATA LOT AS SHOWN ON FORM V.,642000.0,235000.0,2023.0,620000.0,231000.0,2007.0,2007.0,,26,2023
031-694-276,STRATA,170814340023,17081434,CD-1 (697),Comprehensive Development,23,EPS8350,,323,307,7638.0,CAMBIE ST,,STRATA LOT 23  PLAN EPS8350  DISTRI,CT LOT 323  NWD  GROUP 1  TOGETHER,WITH AN INTEREST IN THE COMMON PROP,ERTY IN PROPORTION TO THE UNIT\r\nENT,ITLEMENT OF THE STRATA LOT AS SHOWN,928000.0,309000.0,2023.0,,,,,,12,2023
014-585-596,LAND,246770550000,24677055,RS-1,Single Detached House,24,VAP1515,13,352,,4549.0,BEATRICE ST,V5N 4J1,LOT 24  BLOCK 13  PLAN VAP1515  DIS,TRICT LOT 352  NWD GROUP 1.,,,,1571000.0,470000.0,2023.0,1408610.0,461000.0,1995.0,1995.0,,19,2023
031-156-720,STRATA,170734820014,17073482,CD-1 (680),Comprehensive Development,14,EPS6589,,526,203,5058.0,CAMBIE ST,V5Z 2Z5,STRATA LOT 14  PLAN EPS6589  DISTRI,CT LOT 526  NWD  GROUP 1  TOGETHER,WITH AN INTEREST IN THE COMMON PROP,ERTY IN PROPORTION TO THE UNIT ENTI,TLEMENT OF THE STRATA LOT AS SHOWN,1155000.0,319000.0,2023.0,1114000.0,335000.0,2020.0,2020.0,,9,2023
011-786-353,STRATA,813176940169,81317694,CD-1 (179),Comprehensive Development,169,VAS1960,8,322,203,7620.0,COLUMBIA ST,V5X 4S8,LOT 169  BLOCK 8  PLAN VAS1960  DIS,TRICT LOT 322  NEW WESTMINSTER UNDI,V 123/3339 SHARE IN COM PROP THEREI,N PHASE 6.,,755000.0,168000.0,2023.0,694000.0,192000.0,1988.0,1988.0,,12,2023
013-272-250,LAND,730077760000,73007776,RS-5,One-Family Dwelling,8,VAP2977,18,526,,2350.0,33RD AVE W,V6M 1C3,LOT 8  BLOCK 18  PLAN VAP2977  DIST,RICT LOT 526  NWD OF LOT 2.,,,,2252000.0,545000.0,2020.0,2691000.0,564000.0,1990.0,1990.0,9830.14,5,2020
012-715-816,LAND,142817560000,14281756,RS-1,Single Detached House,21,VAP2069,A,319,,7928.0,MONTCALM ST,V6P 4P3,LOT 21  BLOCK A  PLAN VAP2069  DIST,"RICT LOT 319  NWD OF LOTS 2, 12 AND","13, & DL 323 AND 324.",,,2100000.0,805000.0,2023.0,2025000.0,753000.0,2012.0,2014.0,,12,2023
031-704-549,STRATA,840148070053,84014807,CD-1 (276),Comprehensive Development,53,EPS8236,,319,414,8888.0,OSLER ST,,STRATA LOT 53  PLAN EPS8236  DISTRI,CT LOT 319  NWD  GROUP 1  & DL323 &,"324, TOGETHER WITH AN INTEREST IN",THE COMMON PROPERTY IN PROPORTION T,O THE UNIT ENTITLEMENT OF THE STRAT,443000.0,147000.0,2023.0,,,,,,12,2023
011-754-702,LAND,734237170000,73423717,RS-1,One-Family Dwelling,15,VAP4197,2,703,,1717.0,35TH AVE E,V5P 1B5,LOT 15  BLOCK 2  PLAN VAP4197  DIST,"RICT LOT 703  NWD PART W 1/2, GROUP",1.,,,1519000.0,123000.0,2022.0,1316000.0,108000.0,1977.0,1977.0,6189.8,19,2022
026-044-749,LAND,765316430000,76531643,RS-1,One-Family Dwelling,C,BCP13334,,,,3559.0,47TH AVE E,V5S 1E3,LOT C  PLAN BCP13334  NEW WESTMINST,ER DISTRICT LOT 339 NE QTR.,,,,1856000.0,794000.0,2022.0,1499000.0,695000.0,2004.0,2004.0,7499.79,24,2022
019-196-423,LAND,674037870000,67403787,RS-1,One-Family Dwelling,8,LMP22204,181,540,,3711.0,11TH AVE W,V6R 2K7,LOT 8  BLOCK 181  PLAN LMP22204  DI,STRICT LOT 540  NEW WESTMINSTER,,,,2066000.0,657000.0,2022.0,1796000.0,411000.0,2001.0,2013.0,9030.06,1,2022
015-665-143,LAND,587251580000,58725158,M-2,Industrial,9,VAP180,E,183,,1856.0,PANDORA ST,V5L 1M5,LOT 9  BLOCK E  PLAN VAP180  DISTRI,"CT LOT 183  NWD GROUP 1, OF LOT 3.",,,,2628000.0,1463000.0,2022.0,3125000.0,511000.0,1975.0,1980.0,39194.8,14,2022
011-098-694,LAND,592267080000,59226708,RT-5,Two-Family Dwelling,A,VAP5682,52,184,,2308.0,PENDER ST E,V5L 1X6,LOT A  BLOCK 52  PLAN VAP5682  DIST,RICT LOT 184  NEW WESTMINSTER OF LO,TS 1 & 2.,,,1205000.0,75300.0,2021.0,1008000.0,76500.0,1926.0,1970.0,5391.25,14,2021
027-991-172,STRATA,172589350222,17258935,CD-1 (450),Comprehensive Development,222,BCS3528,,OGT,2702,128.0,CORDOVA ST W,V6B 0E6,LOT 222  PLAN BCS3528  DISTRICT LOT,OGT  NWD TOGETHER WITH AN INTEREST,IN THE COMMON PROPERTY IN PROPORTI,ON TO THE UNIT ENTITLEMENT OF THE S,"TRATA LOT AS SHOWN ON FORM 1 OR V,",822000.0,227000.0,2023.0,782000.0,230000.0,2009.0,2009.0,,26,2023
018-688-241,STRATA,638194520003,63819452,IC-3,Industrial,3,LMS1316,,200A,103,336.0,1ST AVE E,V5T 4R6,LOT 3  PLAN LMS1316  DISTRICT LOT 2,00A  NEW WESTMINSTER UNDIV 99/4749,SHARE IN COM PROP THEREIN.,,,776000.0,227000.0,2023.0,697000.0,231000.0,1994.0,1994.0,,13,2023
028-294-424,STRATA,636179940019,63617994,CD-1 (454),Comprehensive Development,19,BCS3906,,FC,211,122.0,WALTER HARDWICK AVE,V5Y 0C9,LOT 19  PLAN BCS3906  DISTRICT LOT,FC  NWD TOGETHER WITH AN INTEREST I,N THE COMMON PROPERTY IN PROPORTION,TO THE UNIT ENTITLEMENT OF THE STR,"ATA LOT AS SHOWN ON FORM 1 OR V, AS",77900.0,33000.0,2021.0,70800.0,32200.0,2010.0,2010.0,324.1,13,2021
014-188-732,LAND,604271350000,60427135,RS-1,One-Family Dwelling,19,VAP1945,6,THSL,,2533.0,NAPIER ST,V5K 2W4,LOT 19  BLOCK 6  SECTION 22  PLAN V,AP1945  DISTRICT LOT THSL  NWD PART,"W 1/2, EXC N 2 FT, NOW LANE,.",,,1378000.0,61600.0,2022.0,1180000.0,55700.0,1958.0,1970.0,6462.74,20,2022
023-139-251,STRATA,720306230119,72030623,CD-1 (314),Comprehensive Development,119,LMS2056,,,1305,3433.0,CROWLEY DR,V5R 6C5,LOT 119  PLAN LMS2056  NEW WESTMINS,"TER DISTRICT LOT 36 & 37, UNDIV 529",/116419 SHARE IN COM PROP THEREIN.,,,176000.0,144000.0,2021.0,167000.0,144000.0,1995.0,1995.0,935.2,23,2021
025-532-642,STRATA,600115960158,60011596,DD,Comprehensive Development,158,BCS152,,185,1909,1420.0,GEORGIA ST W,V6G 3K4,"STRATA LOT 158, PLAN BCS152, DISTRI","CT LOT 185, GROUP 1, NEW WESTMINSTE","R LAND DISTRICT, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,470000.0,152000.0,2021.0,449000.0,150000.0,2002.0,2002.0,1817.8,26,2021
024-480-568,STRATA,120605980383,12060598,CD-1 (322),Comprehensive Development,383,LMS1866,,541,RT25,970.0,BURRARD ST,V6Z 2R4,LOT 383  PLAN LMS1866  DISTRICT LOT,541  NEW WESTMINSTER UNDIV 265/958,69 SHARE IN COM PROP THEREIN.,,,379000.0,24800.0,2021.0,324000.0,25800.0,1975.0,1998.0,3054.41,26,2021
026-795-388,STRATA,718316960187,71831696,CD-1 (314),Comprehensive Development,187,BCS2012,,36,2007,3660.0,VANNESS AVE,V5R 6H8,LOT 187  PLAN BCS2012  DISTRICT LOT,36  NEW WESTMINSTER GROUP 1.,,,,379000.0,129000.0,2021.0,343000.0,128000.0,2006.0,2006.0,1484.63,23,2021
026-879-492,STRATA,156604070196,15660407,DD,Comprehensive Development,196,BCS2103,,541,2203,909.0,MAINLAND ST,V6B 1S3,LOT 196  PLAN BCS2103  DISTRICT LOT,541  NEW WESTMINSTER GROUP 1.,,,,385000.0,132000.0,2020.0,439000.0,134000.0,2006.0,2006.0,1512.56,29,2020
002-636-506,STRATA,683146970038,68314697,RM-3,Multiple Dwelling,38,VAS542,,526,P5,2885.0,SPRUCE ST,V6H 2R4,LOT 38  PLAN VAS542  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 587/23421,SHARE IN COM PROP THEREIN.,,,424000.0,27100.0,2020.0,507000.0,29000.0,1977.0,1978.0,1319.78,7,2020
003-532-062,STRATA,645198400001,64519840,RM-4,Multiple Dwelling,1,VAS157,,264A,102,444.0,6TH AVE E,V5T 1K6,LOT 1  PLAN VAS157  DISTRICT LOT 26,4A  NEW WESTMINSTER UNDIV 48/1273 S,HARE IN COM PROP THEREIN.,,,693000.0,103000.0,2023.0,585000.0,123000.0,1974.0,1974.0,,13,2023
024-556-947,STRATA,600116040438,60011604,CD-1 (318),Comprehensive Development,438,LMS3942,,185,2306,1367.0,ALBERNI ST,V6E 4R9,"STRATA LOT 438, PLAN LMS3942, DISTR","ICT LOT 185, NEW WESTMINSTER LAND D","ISTRICT, TOGETHER WITH AN INTEREST",IN THE COMMON PROPERTY IN PROPORTIO,N TO THE UNIT ENTITLEMENT OF THE ST,1190000.0,419000.0,2021.0,1063000.0,414000.0,1999.0,1999.0,4702.31,26,2021
014-531-453,LAND,237755050000,23775505,RS-1,Single Detached House,34,VAP1615,3,716,,5905.0,ARGYLE ST,V5P 3J9,LOT 34  BLOCK 3  PLAN VAP1615  DIST,RICT LOT 716  NWD GROUP 1.,,,,1648000.0,770000.0,2023.0,1528000.0,690000.0,2009.0,2009.0,,19,2023
006-358-241,STRATA,124614070079,12461407,DD,Comprehensive Development,79,VAS1184,,541,423,1333.0,HORNBY ST,V6Z 2C1,"STRATA LOT 79, PLAN VAS1184, DISTRI","CT LOT 541, NEW WESTMINSTER LAND DI","STRICT, TOGETHER WITH AN INTEREST I",N THE COMMON PROPERTY IN PROPORTION,TO THE UNIT ENTITLEMENT OF THE STR,365000.0,117000.0,2021.0,367000.0,113000.0,1982.0,1982.0,1408.65,29,2021
029-874-718,STRATA,603162680190,60316268,CD-1 (520),Comprehensive Development,190,EPS3602,,FC,1123,68.0,SMITHE ST,V6B 0P4,"STRATA LOT 190, PLAN EPS3602, DISTR","ICT LOT FC, GROUP 1, NEW WESTMINSTE","R LAND DISTRICT, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,370000.0,223000.0,2020.0,434000.0,223000.0,2016.0,2016.0,1734.93,26,2020
007-246-196,LAND,798300120000,79830012,RS-1,One-Family Dwelling,D,VAP17925,4,,,3120.0,52ND AVE E,V5S 1T8,LOT D  BLOCK 4  PLAN VAP17925  NWD,DISTRICT LOT 338 W QTR.,,,,1175000.0,328000.0,2020.0,1394000.0,304000.0,2005.0,2005.0,6035.3,24,2020
005-484-944,STRATA,90710510056,9071051,CD-1 (78),Comprehensive Development,56,VAS563,,526,,3973.0,PARKWAY DR,V6L 3C9,LOT 56  PLAN VAS563  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 2000/1323,25 SHARE IN COM PROP THEREIN.,,,1689000.0,230000.0,2023.0,1513000.0,267000.0,1978.0,1978.0,,4,2023
030-706-149,STRATA,650195770024,65019577,C-3A,Commercial,24,EPS5265,,200A,402,379.0,BROADWAY E,V5T 1W6,"STRATA LOT 24, PLAN EPS5265, DISTRI","CT LOT 200A, GROUP 1, NEW WESTMINST","ER LAND DISTRICT, TOGETHER WITH AN",INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,422000.0,176000.0,2020.0,,,,,1868.07,13,2020
010-795-332,LAND,769197670000,76919767,RS-1,Single Detached House,4,VAP6893,21,649,,495.0,48TH AVE E,V5W 2E4,LOT 4  BLOCK 21  PLAN VAP6893  DIST,RICT LOT 649  NEW WESTMINSTER,,,,1795000.0,390000.0,2023.0,1766000.0,404000.0,1946.0,1985.0,,16,2023
029-845-921,STRATA,138600890012,13860089,CD-1 (525),Comprehensive Development,12,EPS3242,54,541,702,777.0,RICHARDS ST,V6B 0M6,"STRATA LOT 12, BLOCK 54, PLAN EPS32","42, DISTRICT LOT 541, GROUP 1, NEW","WESTMINSTER LAND DISTRICT, TOGETHER",WITH AN INTEREST IN THE COMMON PRO,PERTY IN PROPORTION TO THE UNIT ENT,346000.0,245000.0,2021.0,356000.0,240000.0,2016.0,2016.0,1727.21,26,2021
006-539-921,STRATA,683149450006,68314945,RM-3,Multiple Dwelling,6,VAS1373,,526,103,1055.0,13TH AVE W,V6H 1N1,LOT 6  PLAN VAS1373  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 683/13151,SHARE IN COM PROP THEREIN.,,,451000.0,140000.0,2020.0,494000.0,148000.0,1983.0,1983.0,1698.27,7,2020
028-097-297,STRATA,126612050004,12661205,DD,Comprehensive Development,4,BCS3664,,541,,1227.0,HOWE ST,V6Z 0B1,LOT 4  PLAN BCS3664  DISTRICT LOT 5,41  NWD GROUP 1.,,,,845000.0,256000.0,2023.0,805000.0,253000.0,2009.0,2009.0,,29,2023
024-031-135,STRATA,600117080161,60011708,CD-1 (343),Comprehensive Development,161,LMS3094,,185,2104,1288.0,GEORGIA ST W,V6E 4R3,LOT 161  PLAN LMS3094  DISTRICT LOT,185  NEW WESTMINSTER UNDIV 77/3455,2 SHARE IN COM PROP THEREIN.,,,617000.0,224000.0,2021.0,619000.0,221000.0,1998.0,1998.0,2457.83,26,2021
004-630-327,LAND,696236120000,69623612,RT-10,Two-Family Dwelling,35,VAP331,,745,,1612.0,20TH AVE E,V5N 2K8,LOT 35  PLAN VAP331  DISTRICT LOT 7,45  NWD GROUP 1.,,,,1431000.0,46600.0,2020.0,1679000.0,46700.0,1926.0,1960.0,5969.99,15,2020
005-643-384,STRATA,643087250015,64308725,RM-4,Multiple Dwelling,15,VAS700,,526,205,2173.0,6TH AVE W,V6K 1V5,LOT 15  PLAN VAS700  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 63/2073 S,HARE IN COM PROP THEREIN.,,,521000.0,73400.0,2021.0,520000.0,79100.0,1980.0,1980.0,1737.14,2,2021
031-066-101,STRATA,830310800067,83031080,CD-1 (566),Comprehensive Development,67,EPS6575,,331,417,3451.0,SAWMILL CRES,V5S 0H3,STRATA LOT 67  PLAN EPS6575  DISTRI,CT LOT 331  NWD  GROUP 1  TOGETHER,WITH AN INTEREST IN THE COMMON PROP,ERTY IN PROPORTION TO THE UNIT ENTI,TLEMENT OF THE STRATA LOT AS SHOWN,427000.0,285000.0,2021.0,,,,,2080.82,18,2021
006-056-636,STRATA,150741470005,15074147,CD-1 (49),Comprehensive Development,5,VAS855,,526,7,5515.0,OAK ST,V6M 2V5,LOT 5  PLAN VAS855  DISTRICT LOT 52,6  NEW WESTMINSTER UNDIV 15/984 SHA,RE IN COM PROP THEREIN.,,,727000.0,45200.0,2022.0,678000.0,42200.0,1969.0,1969.0,2079.47,8,2022
027-045-811,STRATA,172595060004,17259506,CD-1 (265),Comprehensive Development,4,BCS2313,,FC,310,58.0,KEEFER PL,V6B 0B8,"STRATA LOT 4, PLAN BCS2313, DISTRIC","T LOT FC, NEW WESTMINSTER LAND DIST","RICT, TOGETHER WITH AN INTEREST IN",THE COMMON PROPERTY IN PROPORTION T,O THE UNIT ENTITLEMENT OF THE STRAT,430000.0,187000.0,2023.0,408000.0,184000.0,2007.0,2007.0,,26,2023
007-038-658,LAND,600234180000,60023418,I-2,Industrial,A,15061,24,264A,,1518.0,VENABLES ST,V5L 2G9,LOT A  BLOCK 24  PLAN 15061  DISTRI,CT LOT 264A  NEW WESTMINSTER,,,,4982000.0,16000.0,2021.0,5219000.0,15600.0,1909.0,1970.0,49729.0,14,2021
007-197-152,LAND,717230250000,71723025,RT-10,Two-Family Dwelling,H,VAP18205,1,352,,1421.0,28TH AVE E,V5N 2X3,LOT H  BLOCK 1  PLAN VAP18205  DIST,"RICT LOT 352  NWD OF LOT 2, S PT OF",BLKS 1& 3.,,,1306000.0,156000.0,2020.0,1552000.0,157000.0,1980.0,1985.0,6197.34,19,2020
006-298-401,STRATA,614120020129,61412002,DD,Comprehensive Development,129,VAS1183,,541,904,950.0,DRAKE ST,V6Z 2B9,LOT 129  PLAN VAS1183  DISTRICT LOT,541  NEW WESTMINSTER UNDIV 526/713,18 SHARE IN COM PROP THEREIN.,,,418000.0,92500.0,2022.0,390000.0,86300.0,1982.0,1982.0,1374.74,29,2022
030-450-195,LAND,590217550000,59021755,CD-1 (561),Comprehensive Development,,EPP65979,62,181,,947.0,HASTINGS ST E,V6A 1R9,BLOCK 62  PLAN EPP65979  DISTRICT L,OT 181  NWD  GROUP 1  AIRSPACEPARCE,LNUMBER 1  MEVA,,,3718000.0,2501000.0,2022.0,3908000.0,2446000.0,2018.0,2018.0,18287.3,13,2022
016-081-447,STRATA,601116940037,60111694,CD-1 (200),Comprehensive Development,37,VAS2674,,185,804,717.0,JERVIS ST,V6E 4L5,LOT 37  PLAN VAS2674  DISTRICT LOT,185  NEW WESTMINSTER UNDIV 1095/136,557 SHARE IN COM PROP THEREIN.,,,623000.0,309000.0,2021.0,567000.0,310000.0,1990.0,1990.0,2723.78,27,2021
018-378-633,STRATA,190692020141,19069202,C-2,Commercial,141,LMS1000,,301,403,228.0,18TH AVE E,V5V 1E6,LOT 141  PLAN LMS1000  DISTRICT LOT,301  NWD  BCAGROUP 1 TOGETHER WITH,AN INTEREST IN THE COMMON PROPERTY,IN PROPORTION TO THE UNIT ENTITLEM,ENT OF THE STRATA LOT AS SHOWN ON F,813000.0,190000.0,2023.0,719000.0,202000.0,1993.0,1993.0,,15,2023
007-915-128,LAND,824212320000,82421232,RS-1,One-Family Dwelling,1,VAP9703,A,327,,872.0,64TH AVE E,V5X 2N4,LOT 1  BLOCK A  PLAN VAP9703  DISTR,ICT LOT 327  NEW WESTMINSTER SUBSID,Y LOT 5 TO 8.,,,1298000.0,54100.0,2021.0,1145000.0,55600.0,1957.0,1957.0,5751.51,17,2021
